RecordNumber	Tags	Indicators	Content	
1	LDR		00805aam a2200253 a 4500
1	001		008000103-3
1	005		20020606104010.5
1	008		990225s1996\\\\pk\\\\\\\b\\\\000\0\eng\\
1	010	\\	$a   97930962 
1	035	0\	$aocm40868722
1	040	\\	$aDLC$cDLC
1	042	\\	$alcode
1	050	00	$aBP166.14.D4$bO37 1996
1	100	1\	$aOkarvi, Kaukab Noorani.
1	245	10	$aDeoband to Bareilly :$bthe truth /$cby Allamah Kaukab Noorani Okarvi ; translated by S. G. Khawajah.
1	250	\\	$aIst ed.
1	260	\\	$aLahore :$bZia-ul-Qurʾaan Publications,$c1996.
1	300	\\	$a75 p. ;$c22 cm.
1	504	\\	$aIncludes bibliographical references.
1	520	\\	$aComparative study of Deoband and Bareilly schools of thought.
1	650	\0	$aDeoband School (Islam)
1	650	\0	$aBareilly School (Islam)
1	988	\\	$a20020608
1	906	\\	$0DLC
			
2	LDR		00792nam a2200241 a 4500
2	001		008000204-8
2	005		20020606104010.5
2	008		990211s1999\\\\caua\\\\\\\\\\000|0\per\d
2	035	0\	$aocm40873877
2	041	0\	$apereng
2	100	1\	$aQāz̤īʹnūr, Aḥmad.
2	245	10	$aĀrashʹnāmah :$bmajmūʻah-ʾi ashʻār /$cAḥmad Qāz̤īʹnūr.
2	246	15	$aArash-name
2	246	15	$aIn memory of Arash
2	250	\\	$aChāp-i 1.
2	260	\\	$aLus Ānjilis :$bA. Qāz̤īʹnūr,$c1999.
2	300	\\	$a149, 15 p. :$bill. ;$c21 cm.
2	500	\\	$aPoems in memory of author's son who was killed in a car accident.
2	500	\\	$aPersian and English poems by author and other hands.
2	600	10	$aQāz̤īʹnūr, Ārash.
2	752	\\	$aUnited States$bCalifornia$dLos Angeles.
2	988	\\	$a20020608
2	906	\\	$0MH
			
3	LDR		00777nam a22002177a 4500
3	001		008000307-9
3	005		20020606104010.5
3	008		840726s1999\\\\is\||||\\||||\00||||heb|d
3	035	0\	$aocm40819638
3	100	1\	$aGimshi, Dani.
3	245	10	$aShiṭur ḳehilati be-Yiśraʾel uva-ʻolam /$cDani Gimshi.
3	246	1\	$iTitle on t.p. verso:$aCommunity policing in Israel and around the world
3	260	0\	$aYerushalayim :$bMishṭeret Yiśraʾel, ha-Yeḥidah le-shiṭur kehilati, ha-Maṭeh ha-artsi,$c759, 1999.
3	300	\\	$a307 p. ;$c25 cm.
3	650	\0	$aCommunity policing$zIsrael.
3	650	\0	$aCommunity policing.
3	650	\0	$aPolice$zIsrael.
3	710	2\	$aMishṭeret Yiśraʾel.$bYeḥidah le-shiṭur ḳehilati.
3	752	\\	$aIsrael$dJerusalem
3	988	\\	$a20020608
3	906	\\	$0MH
			
4	LDR		01233nem a2200313 a 4500
4	001		008000411-3
4	005		20020606104010.5
4	008		900406s1986\\\\cau\\\\\\\a\\\\\1\\\eng\\
4	010	\\	$a   90681187 /MAPS
4	034	1\	$aa$b44352
4	035	0\	$aocm19909062
4	040	\\	$aDLC$cDLC$dHLS
4	050	0\	$aG4334.P5$b1986 .H2
4	052	\\	$a4334$bP5
4	110	2\	$aH.M. Gousha Company.
4	245	10	$aStreet map of Phoenix.
4	246	3\	$aPhoenix street map.
